author,comment,published_at,likes
@lmtmalawi,This is exactly am going through right now in July 2024,2024-07-25T20:01:55Z,0
@OumalAhmed-d1f,"How on earth such artist is not a not a hit
He s  rare jewel 🎉❤",2024-07-24T07:32:59Z,2
@nicoleoctavie4945,Who's listening in 2024😅😅,2024-07-12T19:46:03Z,31
@lucymwale2935,This one here lives rent free in my head,2024-07-09T18:33:14Z,0
@truevisionanik430,2025 year gang,2024-06-27T11:15:45Z,3
@Leftvideo,i am here in 2024,2024-06-23T19:12:30Z,0
@gaitathedon,👍,2024-06-21T14:10:23Z,1
@lil_deetay,music video asap,2024-06-18T00:31:39Z,0
@PaymentAgentTyson,i ll listen to this song till i strt running in the right  direction...,2024-06-15T17:34:08Z,0
@StanislavStoychev-xq8kx,A child of GOD 🙏,2024-05-31T03:56:50Z,0
@AdamsKunaka,❤❤2024,2024-05-26T19:29:14Z,2
@GivenMakhubela,June 2024 ❤.  See i love to feel love but i can't stand rejection,2024-05-25T17:51:54Z,1
@tinksc,Love this song still listening 👂,2024-05-06T17:36:17Z,1
@ariadnatorijamunooz7954,❤,2024-04-29T08:50:24Z,0
@tinhtay2478,"some part of same ""somebody love ”  what tha fuk ever that's it same looks likes ""somebody love” chords.",2024-04-27T17:10:20Z,0
@ariadnatorijamunooz7954,Voz preciosa 🎉,2024-04-27T10:35:06Z,0
@ariadnatorijamunooz7954,Que 👍😊❤,2024-04-27T10:23:28Z,0
@elijahhiraka279,"6 years ago, I used this song to deal with my depression; i dunno, it just bought me comfort for some reason. I now listen, not with a feeling of longing, but a feeling of nostalgia. I’m happy now, and to all those that were in my position years ago, just know that you’ll be ok, don’t worry too much, and just believe in yourself :)",2024-04-26T03:52:23Z,0
@vincentzonunpuia5873,Woah.. 12 years ago seems like yesterday. It seems I've been running in the wrong direction,2024-04-16T15:18:10Z,1
@nicholasjkane,"When I was a kid, the things I did were hidden under the grid
Young and naive, I never believed that love could be so well hid
With regret I'm willing to bet, and say the older you get
It gets harder to forgive and harder to forget
It gets under your shirt like a dagger at work
The first cut is the deepest but the rest still flipping hurt
You build your heart of plastic
Get cynical and sarcastic
And end up in the corner on your own
'Cause I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction
Oh no
So what's the point in getting your hopes up
When all you're ever getting is choked up
When you're coked up
And can't remember the reason why you broke up
You call her in the morning
When you're coming down and falling
Like an old man on the side of the road
'Cause when you're apart you don't want to mingle
When you're together you want to be single
Ever the chase to taste the kiss of bliss
That made your heart tingle
How much greener the grass is
With those rose tinted glasses
But the butterflies they flutter by and leave us on our arses
'Cause I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction, there's
Fish in the sea for me to make a selection
I'd jump in if it wasn't for my ear infection
'Cause all I want to do is try to make a connection
It seems I've been running in the wrong direction
Oh
Oh, oh, I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction
I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction, oh
It seems like I'm running in the wrong direction, ohh
Seems like I'm running in the wrong direction, ohh
Well, it seems I've been running in the wrong direction, oh no
Seems I've been running in the wrong direction, oh",2024-04-15T08:55:54Z,2
@mdtansenislam8886,"🤍
Mike",2024-04-14T10:21:30Z,0
@preciouschioma2450,oh passenger !!!!!!,2024-04-13T09:54:33Z,0
@Dmhiz,Who's listening in 2024?,2024-04-13T06:15:34Z,254
@avastha,and 2012,2024-04-11T23:12:42Z,0
@avastha,I love passenger in 2013 2014 and 2015 but now it’s 2024 😢,2024-04-11T10:38:13Z,1
@MikeNorton-ct9tp,From the bottom of my heart,2024-04-09T00:43:46Z,0
@RexPerfection-eh5fw,Here we are🎉🎉🎉,2024-03-26T10:35:09Z,0
@AndrewCamp-n7d,Hope I will see you two again some day,2024-03-14T18:30:36Z,0
@Mileymo_de5,this man speaks everything going inside my heart we love you passenger,2024-03-09T06:12:07Z,1
@effiemooney8477,"Dear God,I love him❤😊",2024-03-09T04:39:39Z,1
@YussifBukari-y5s,One love ❤,2024-03-07T19:33:36Z,0
@zinminlatt5781,ၾကယ္တိုက္ 👍,2024-03-05T03:26:19Z,0
@mackokush1421,Hide behind the jokes and thinking I'm full of protection,2024-02-29T19:40:58Z,1
@mackokush1421,I love to feel loved but I got stranded rejection,2024-02-29T19:31:46Z,1
@mackokush1421,Wrong Direction ❤,2024-02-29T19:30:18Z,2
@Passenger_11-11,2024 ? 🤧👍,2024-02-28T15:44:05Z,1
@amospetro-db2oz,"After 7 year of togetherness, goodbye my wife.Its was beautiful wrong direction",2024-02-24T16:28:10Z,0
@priscilafraga6865,❤amooooo as músicas de passenger show,2024-02-22T12:50:09Z,0
@Gr33ny-media,I have the chorus as a tattoo ❤️,2024-02-05T22:04:53Z,0
@mankopodibridget,First heard the song❤ in 2022,2024-02-01T17:19:36Z,0
@nickyp121,Hes got my life spot on..love this,2024-01-29T01:46:57Z,0
@playtothewhistle,Amazing the amount of feelings that can come from that trumpet sound 🎺,2024-01-23T09:14:49Z,0
@MariaSouza-tg8ee,Que vídeo lindo,2024-01-21T10:45:34Z,0
@MariaSouza-tg8ee,Eita música linda Maravilhosa eu gostei muito 😍😍😍😚,2024-01-21T10:43:46Z,0
@ThatPostalGuy,"After that many years i found it. It's song of my childhood, i nearly cried... Thank you❤",2024-01-02T22:05:37Z,1
@victortemba5590,"So what's the point in getting your hopes up
When all you're ever getting is choked up",2023-12-23T09:00:55Z,0
@Royce684,Most underrated song😢,2023-12-19T06:57:33Z,2
@josuebarduzco,"Wrong direction (passenger)

When I was a kid, the things I did were hidden under the grid
Young and naive, I never believed that love could be so well hid
With regret I'm willing to bet, and say the older you get
It gets harder to forgive and harder to forget
It gets under your shirt like a dagger at work
The first cut is the deepest but the rest still flipping hurt
You build your heart of plastic
Get cynical and sarcastic
And end up in the corner on your own
'Cause I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction
Oh no
So what's the point in getting your hopes up
When all you're ever getting is choked up
When you're coked up
And can't remember the reason why you broke up
You call her in the morning
When you're coming down and falling
Like an old man on the side of the road
'Cause when you're apart you don't want to mingle
When you're together you want to be single
Ever the chase to taste the kiss of bliss
That made your heart tingle
How much greener the grass is
With those rose tinted glasses
But the butterflies they flutter by and leave us on our arses
'Cause I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction, there's
Fish in the sea for me to make a selection
I'd jump in if it wasn't for my ear infection
'Cause all I want to do is try to make a connection
It seems I've been running in the wrong direction
Oh
Oh, oh, I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction
I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction, oh
It seems like I'm running in the wrong direction, ohh
Seems like I'm running in the wrong direction, ohh
Well, it seems I've been running in the wrong direction, oh no
Seems I've been running in the wrong direction, oh",2023-12-14T13:27:48Z,0
@verniejourney,I WANT TO TEACH MY KID THIS SONG...ITS A REAL SONG❤,2023-12-13T18:09:40Z,0
@mjsloft8623,❤️,2023-12-03T06:47:30Z,0
@HiroshimaRiscarboyKE,i wish that you live forever,2023-10-12T17:30:29Z,3
@raimunda3059,Ele canta o amor,2023-09-25T23:21:55Z,1
@atysogie8257,2023🎉🎉,2023-09-23T10:26:29Z,1
@cblanchhiphop,Love the feeling of this man's music,2023-09-22T03:49:56Z,7
@isaackumbula3202,Still listening to this in 2023,2023-09-21T09:58:30Z,1
@that.w0rm-0,Lets appreciate this man 🫡,2023-09-21T07:30:05Z,0
@melissawalker7968,Heeey robbie i think were going in the right direction.......cant be wrong!!!!!❤❤❤❤❤❤😂😂😂😂😂😂😂😂😂😂😂😂😂😂❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊,2023-09-02T04:45:05Z,0
@momas_on,"Song has uploaded in the past but the lyrics, the style, the tone which  toward ls to the modern one. Let's see how many GOATs are still listening that legendary song for everyday!!!!!!!",2023-09-01T03:52:13Z,2
@ookk_,2023/8/27 🤍,2023-08-26T22:47:45Z,0
@I_4nqp_,2023 ❤ 0:34,2023-08-18T13:22:22Z,0
@AdabAbu,😢❤,2023-08-14T17:00:34Z,0
@barto8850,"When I was a kid, the things I did were hidden under the grid
Young and naive, I never believed that love could be so well hid
With regret I'm willing to bet, and say the older you get
It gets harder to forgive and harder to forget
It gets under your shirt like a dagger at work
The first cut is the deepest but the rest still flipping hurt
You build your heart of plastic
Get cynical and sarcastic
And end up in the corner on your own
'Cause I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction
Oh no
So what's the point in getting your hopes up
When all you're ever getting is choked up
When you're coked up
And can't remember the reason why you broke up
You call her in the morning
When you're coming down and falling
Like an old man on the side of the road
'Cause when you're apart you don't want to mingle
When you're together you want to be single
Ever the chase to taste the kiss of bliss
That made your heart tingle
How much greener the grass is
With those rose tinted glasses
But the butterflies they flutter by and leave us on our arses
'Cause I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction, there's
Fish in the sea for me to make a selection
I'd jump in if it wasn't for my ear infection
'Cause all I want to do is try to make a connection
It seems I've been running in the wrong direction
Oh
Oh, oh, I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction
I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction, oh
It seems like I'm running in the wrong direction, ohh
Seems like I'm running in the wrong direction, ohh
Well, it seems I've been running in the wrong direction, oh no
Seems I've been running in the wrong direction, oh",2023-08-03T11:28:58Z,2
@w.d.b.6742,…your song just filled my soul. It was exactly what I needed right now. Thank you ❤,2023-07-24T08:10:34Z,4
@saidafarah1264,Passenger ✨✨✨,2023-07-20T15:37:20Z,0
@zakariaselarksoussi8010,Why isnt it on Spotify?? 😢,2023-07-19T12:02:49Z,0
@Stepbystep685,Beyond the muse 😅,2023-07-06T17:50:19Z,1
@moiseshebo6539,não posso dormir sem ouvir essa obra de arte <3,2023-07-05T09:28:05Z,3
@farahmirza958,I do believe i belong on the streets.sooner i accept that the better for me,2023-06-24T19:05:22Z,1
@sharmilabaraili5079,"When I was a kid, the things I did were hidden under the grid
Young and naive, I never believed that love could be so well hid
With regret I'm willing to bet, and say the older you get
It gets harder to forgive and harder to forget
It gets under your shirt like a dagger at work
The first cut is the deepest but the rest still flipping hurt
You build your heart of plastic
Get cynical and sarcastic
And end up in the corner on your own
'Cause I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction
Oh no
So what's the point in getting your hopes up
When all you're ever getting is choked up
When you're coked up
And can't remember the reason why you broke up
You call her in the morning
When you're coming down and falling
Like an old man on the side of the road
'Cause when you're apart you don't want to mingle
When you're together you want to be single
Ever the chase to taste the kiss of bliss
That made your heart tingle
How much greener the grass is
With those rose tinted glasses
But the butterflies they flutter by and leave us on our arses
'Cause I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction, there's
Fish in the sea for me to make a selection
I'd jump in if it wasn't for my ear infection
'Cause all I want to do is try to make a connection
It seems I've been running in the wrong direction
Oh
Oh, oh, I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction
I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction, oh
It seems like I'm running in the wrong direction, ohh
Seems like I'm running in the wrong direction, ohh
Well, it seems I've been running in the wrong direction, oh no
Seems I've been running in the wrong direction, oh",2023-06-23T08:31:21Z,1
@shaundocherty96,Video works for like 1 minute then goes silent,2023-06-16T10:26:19Z,1
@naworajbudhathoki8401,"Chandler Bing 
I hide behind my jokes as form of protection",2023-06-15T10:18:45Z,1
@willhefner,He lied about his ear infection haaaaa....😅😅😅🥰🥰🥰🤪🤪,2023-06-10T23:09:16Z,0
@someidiot5635,Tune,2023-06-04T08:21:22Z,1
@laaglaagsugbo,"The wrong direction,.tlga ako dhl pinaasa at biglang nawala..at umuwi ng pinas sa iba na umuwi., kaya goodluck sayo my dear ex-boyfriend 😂 
My ex lover,. PMMA 😊",2023-06-03T08:54:41Z,0
@anyamwangsa2407,Lets see how mny people still listening in 2023🖐️🤘,2023-05-27T15:23:36Z,5
@cider666,UNIQUE VOIC3!!!,2023-05-21T17:40:54Z,1
@xoxoress,If the Alvin Chipmunk was a real person. 😂,2023-05-10T20:28:46Z,0
@ashsmashproductions,Face isn't 2bad either,2023-05-10T19:00:48Z,0
@ashsmashproductions,His voice melts my ❤,2023-05-10T19:00:23Z,0
@parabola7762,"My list-:
1st- bruno mars
2nd-ed sheeran
3rd but not the least -passenger",2023-04-30T16:01:13Z,1
@mymum1730,"Its like you talking to me, ive built this high wall around me",2023-04-27T21:58:47Z,0
@babs2034,💞💞💞💞,2023-04-26T12:42:52Z,0
@sickraffox,"the more i get old, the more i can relate to the lyrics",2023-03-28T09:18:21Z,2
